Time,Extension,Load,
7.94,0.95031,3.82388,
7.96,0.95284,3.86519,
7.98,0.95517,3.87701,
8,0.95721,3.90694,
8.02,0.95925,3.93367,
8.04,0.96159,3.9527,
8.06,0.96427,3.93137,
8.08,0.96706,3.8962,
8.1,0.96966,3.91087,
8.12,0.9719,3.94846,
8.14,0.97397,3.97442,
8.16,0.97627,3.9788,
8.18,0.97884,3.97848,
8.2,0.98151,3.97136,
8.22,0.98408,3.9544,
8.24,0.9864,3.94867,
8.26,0.98843,3.933,
8.28,0.99047,3.97036,
8.3,0.99283,4.00292,
8.32,0.99549,4.00668,
8.34,0.99822,4.01746,
8.36,1.00077,4.05868,
8.38,1.00301,4.09174,
8.4,1.00514,4.13439,
8.42,1.00754,4.12982,
8.44,1.0102,4.10349,
8.46,1.01289,4.09454,
8.48,1.01541,4.08259,
8.5,1.01761,4.01958,
8.52,1.01955,3.96907,
8.54,1.02159,4.01129,
8.56,1.02399,4.06988,
8.58,1.02672,4.10983,
8.6,1.02952,4.1029,
8.62,1.03208,4.10919,
8.64,1.03428,4.12367,
8.66,1.03641,4.13163,
8.68,1.0388,4.15843,
8.7,1.04144,4.14223,
8.72,1.04407,4.18615,
8.74,1.04653,4.15882,
8.76,1.0487,4.13517,
8.78,1.05065,4.1584,
8.8,1.05273,4.18398,
8.82,1.0552,4.19243,
8.84,1.05794,4.18396,
8.86,1.06073,4.18836,
8.88,1.06328,4.16371,
8.9,1.06548,4.11794,
8.92,1.06761,4.13642,
8.94,1.07,4.22864,
8.96,1.0726,4.26804,
8.98,1.0752,4.27979,
9,1.07765,4.2876,
9.02,1.07986,4.28899,
9.04,1.08187,4.24112,
9.06,1.084,4.28837,
9.08,1.08647,4.33678,
9.1,1.0892,4.30739,
9.12,1.09192,4.22899,
9.14,1.09436,4.19257,
9.16,1.09648,4.26552,
9.18,1.09861,4.30185,
9.2,1.10109,4.33701,
9.22,1.1038,4.32365,
9.24,1.10649,4.32878,
9.26,1.10897,4.32065,
9.28,1.11111,4.29705,
9.3,1.11304,4.27714,
9.32,1.11513,4.2859,
9.34,1.1176,4.30807,
9.36,1.12033,4.32028,
9.38,1.12308,4.34316,
9.4,1.12556,4.37592,
9.42,1.12774,4.37973,
9.44,1.12995,4.40482,
9.46,1.13247,4.45848,
9.48,1.13515,4.38873,
9.5,1.13773,4.35762,
9.52,1.14008,4.37016,
9.54,1.14215,4.36665,
9.56,1.14408,4.37087,
9.58,1.14621,4.40838,
9.6,1.14873,4.40438,
9.62,1.15154,4.44925,
9.64,1.15435,4.43092,
9.66,1.15682,4.44734,
9.68,1.15894,4.48965,
9.7,1.16112,4.49472,
9.72,1.16363,4.4661,
9.74,1.16631,4.43523,
9.76,1.16891,4.3863,
9.78,1.17131,4.35188,
9.8,1.17342,4.34524,
9.82,1.17539,4.43685,
9.84,1.17756,4.48903,
9.86,1.1801,4.47432,
9.88,1.18289,4.47157,
9.9,1.18564,4.45292,
9.92,1.18804,4.43057,
9.94,1.19015,4.48223,
9.96,1.19238,4.51364,
9.98,1.19493,4.52217,
10,1.1976,4.54218,
10.02,1.20019,4.55845,
10.04,1.20255,4.53716,
10.06,1.20461,4.57492,
10.08,1.20657,4.59652,
10.1,1.20879,4.6198,
10.12,1.21137,4.58214,
10.14,1.21413,4.57981,
10.16,1.21682,4.55667,
10.18,1.21913,4.55072,
10.2,1.22119,4.54123,
10.22,1.22343,4.59165,
10.24,1.22604,4.62503,
10.26,1.22879,4.58823,
10.28,1.23142,4.59982,
10.3,1.23374,4.61149,
10.32,1.23572,4.60428,
10.34,1.23764,4.60854,
10.36,1.23986,4.66021,
10.38,1.24245,4.65743,
10.4,1.24525,4.60197,
10.42,1.24797,4.55865,
10.44,1.25033,4.57814,
10.46,1.25245,4.65072,
10.48,1.25474,4.64242,
10.5,1.25733,4.60091,
10.52,1.25998,4.55546,
10.54,1.26251,4.54624,
10.56,1.2648,4.5713,
10.58,1.26681,4.58823,
10.6,1.26879,4.60921,
10.62,1.27107,4.61536,
10.64,1.2737,4.65677,
10.66,1.2765,4.68498,
10.68,1.27918,4.68892,
10.7,1.28148,4.65606,
10.72,1.28358,4.65477,
10.74,1.28588,4.71749,
10.76,1.2885,4.76281,
10.78,1.2912,4.76588,
10.8,1.29378,4.72241,
10.82,1.29607,4.68511,
10.84,1.29806,4.71468,
10.86,1.30004,4.73634,
10.88,1.30235,4.77843,
10.9,1.30498,4.82334,
10.92,1.30774,4.85123,
10.94,1.31036,4.8438,
10.96,1.31264,4.81088,
10.98,1.31477,4.82301,
11,1.31713,4.86067,
11.02,1.31977,4.81996,
11.04,1.32243,4.8226,
11.06,1.32496,4.83725,
11.08,1.32723,4.83984,
11.1,1.32922,4.8441,
11.12,1.33124,4.85199,
11.14,1.3336,4.83321,
11.16,1.33628,4.82785,
11.18,1.33903,4.79136,
11.2,1.34157,4.81347,
11.22,1.34379,4.83633,
11.24,1.34593,4.87082,
11.26,1.34836,4.93108,
11.28,1.35105,4.92126,
11.3,1.35374,4.92585,
11.32,1.35627,4.94694,
11.34,1.35848,4.96191,
11.36,1.36042,4.97279,
11.38,1.36245,4.94356,
11.4,1.36483,4.94017,
11.42,1.36751,4.92479,
11.44,1.37025,4.91606,
11.46,1.37278,4.91318,
11.48,1.37498,4.93532,
11.5,1.37713,4.99047,
11.52,1.37955,5.04675,
11.54,1.38218,5.06389,
11.56,1.38483,5.0749,
11.58,1.38735,5.07946,
11.6,1.38958,5.0561,
11.62,1.39156,5.06681,
11.64,1.39362,5.09442,
11.66,1.39603,5.10166,
11.68,1.39872,5.09351,
11.7,1.40144,5.06594,
11.72,1.40392,5.06325,
11.74,1.40609,5.09716,
11.76,1.40824,5.07539,
11.78,1.4107,5.11179,
11.8,1.41339,5.16247,
11.82,1.41606,5.14406,
11.84,1.41856,5.09679,
11.86,1.42074,5.05752,
11.88,1.42269,5.07849,
11.9,1.42478,5.07767,
11.92,1.42724,5.06698,
11.94,1.42994,5.05968,
11.96,1.43265,5.03149,
11.98,1.4351,5.0309,
12,1.43727,5.09093,
12.02,1.43946,5.10892,
12.04,1.44194,5.10367,
12.06,1.4446,5.12457,
12.08,1.44726,5.14763,
12.1,1.44974,5.14054,
12.12,1.45192,5.15491,
12.14,1.45389,5.19488,
12.16,1.45603,5.17941,
12.18,1.45852,5.19319,
12.2,1.46122,5.24076,
12.22,1.46389,5.27548,
12.24,1.46629,5.23758,
12.26,1.46844,5.20822,
12.28,1.47064,5.2207,
12.3,1.47316,5.21426,
12.32,1.47587,5.21166,
12.34,1.47853,5.21921,
12.36,1.48096,5.20231,
12.38,1.48306,5.17209,
12.4,1.485,5.22147,
12.42,1.48717,5.27546,
12.44,1.48971,5.33703,
12.46,1.49246,5.35135,
12.48,1.49515,5.29627,
12.5,1.49754,5.23344,
12.52,1.49967,5.24227,
12.54,1.50188,5.33404,
12.56,1.50439,5.36543,
12.58,1.50705,5.36146,
12.6,1.50969,5.36287,
12.62,1.51213,5.39921,
12.64,1.51426,5.39234,
12.66,1.51625,5.39572,
12.68,1.51846,5.39056,
12.7,1.52102,5.40535,
12.72,1.52376,5.40889,
12.74,1.52642,5.36491,
12.76,1.52876,5.34287,
12.78,1.53086,5.35098,
12.8,1.53309,5.36397,
12.82,1.53564,5.39663,
12.84,1.53831,5.47364,
12.86,1.54091,5.45806,
12.88,1.54331,5.42866,
